Elevation,RockDepthI
629.2747192,2
632.1177979,3
544.7561035,3
537.3865967,4
563.784729,5
588.6948853,6
604.8729858,8
605.4946899,10
624.37854,13
421.0389099,15
582.2200317,18
618.9725952,18
626.4217529,23
627.5588989,23
634.1182861,25
626.4735107,25
606.7905273,27
609.0203857,28
397.5466309,30
604.1837158,30
626.6618652,31
565.7527466,34
579.0292358,35
620.8216553,35
625.7407227,36
629.9013672,37
604.9032593,40
605.9864502,40
624.1329346,40
636.0974121,40
562.8582764,50
608.3496094,51
537.0608521,53
613.5654297,57
609.0531006,70
605.4693604,70
610.7405396,70
556.7487793,80
538.6152344,85
394.3865662,101
443.120636,112
397.1036072,112
630.9057617,134
491.7944336,1
405.7232056,10
290.6330261,232
284.9805603,149
507.3181763,60
476.8482666,210
372.0858765,110
293.9408264,27
453.6788635,10
462.1040344,10
290.4326782,8
318.9730835,73
298.5483093,55
413.710968,40
475.0065308,15
537.4885254,40
439.5293884,5
495.7680359,80
462.0186157,3
324.3222656,90
433.4651489,5
457.8552551,60
368.8764954,124
479.070282,10
431.9926758,70
453.984375,5
496.7245789,30
510.380188,12
333.5153809,45
475.1235657,4
342.78479,70
411.372406,70
298.9154663,63
299.3103638,65
286.151001,60
303.5794983,48
383.2571106,6
412.616272,85
507.7428589,40
289.8302002,100
457.0571594,6
530.3543091,7
300.6100464,110
302.581604,230
463.0636292,30
354.2428894,180
459.6241455,3
290.8102417,90
263.1202698,60
409.216156,50
263.9767456,75
413.0236511,18
436.0175476,136
483.6448669,50
407.1486206,70
307.8200684,13
384.993866,38
301.7141724,126
505.4737244,26
489.0001221,40
429.0264587,10
448.7250366,50
293.1304016,57
343.99646,105
428.910553,8
502.2030945,130
461.9262695,50
425.2923889,140
467.0932312,15
460.834259,50
296.2020264,125
414.8442993,63
457.4794312,30
527.2156982,95
405.7021484,68
360.3997498,80
496.5107727,50
306.7931824,130
384.3779907,125
511.9745789,10
483.9623718,110
549.8239746,8
480.2068176,75
395.3712463,72
382.7249756,30
511.9665222,138
566.1710205,5
474.5351563,10
480.7631226,150
451.8402405,80
337.7208557,42
286.554718,165
485.9273376,80
415.696228,64
422.7422485,46
349.3749084,18
502.6237183,80
285.1368408,58
333.8175354,12
515.565979,200
424.2718811,20
408.5054321,40
300.5888367,50
307.2920227,25
408.6767883,100
315.2738647,98
430.9862671,95
443.2938843,16
413.5332947,38
501.168396,5
521.2181396,18
371.2174988,50
422.461731,3
497.6192627,7
484.6181946,25
310.4086304,253
456.5897827,15
479.7709961,1
465.0788879,95
432.0241699,80
489.7872925,100
542.2084961,86
481.9335938,32
391.8956909,79
326.2213135,60
494.9295959,15
406.5602417,43
471.8815002,32
445.3584595,80
423.5405273,200
502.3052979,50
497.4031372,3
502.9847107,15
512.208252,13
549.3831787,139
386.2039185,20
565.6799316,17
544.6365356,90
400.3796692,42
501.7837219,27
578.8649902,17
632.300415,73
540.2027588,19
547.9819946,6
518.9646606,45
606.4001465,10
566.8898315,13
441.2563782,67
592.9884033,44
458.4613647,40
564.2783813,95
599.2513428,41
440.223938,32
612.6877441,108
583.6790161,48
406.334198,76
510.5958862,75
446.5420532,120
630.9175415,3
578.6922607,125
608.4204712,3
561.2883911,18
651.241272,15
640.0307617,4
553.4263916,15
598.1134644,48
540.5492554,40
468.9778748,42
493.5521851,48
563.5872803,93
534.223938,30
446.1758118,50
588.9498901,31
529.4364014,73
416.4591064,46
534.9251099,10
528.7565308,40
571.7148438,75
500.0710449,107
419.2990723,85
495.0137939,40
511.6271973,45
495.4472656,130
478.499054,93
533.446106,121
668.2681274,20
545.8575439,86
540.6760254,47
359.0019531,30
471.8507385,5
350.7185364,10
560.1412964,20
585.786377,0
542.916687,7
561.0112915,14
566.0734253,14
310.6390686,22
650.1553955,57
476.1843262,10
474.8208313,77
455.2970276,3
475.4846191,78
459.6040344,0
398.1365051,42
449.823761,21
416.3772888,80
444.7089844,28
440.0401306,97
457.2616577,85
402.6802063,45
379.1188354,25
419.8560181,7
372.0232239,30
464.3008728,39
470.2476196,4
451.0623474,140
413.6827393,18
485.9977112,20
518.4361572,12
489.082428,12
422.7618103,10
411.8270264,13
463.4335938,50
389.1462708,56
446.0563965,132
495.1339417,35
395.5716858,30
511.6288452,5
465.9757385,72
515.0245361,133
380.9431152,75
533.4191895,184
499.9147644,57
410.223877,48
418.1603394,25
504.2387085,7
456.4002686,14
497.8340759,197
410.4739075,20
548.1807251,15
571.8127441,75
434.6141357,43
506.848175,33
513.5849609,28
525.046936,28
524.0180054,140
540.6801147,5
640.2555542,28
590.4066772,27
482.2835693,151
443.8719482,135
464.6287231,36
456.0179138,1
507.3386536,58
368.1273804,24
490.5661926,60
451.391449,10
409.6359863,47
554.2441406,3
395.5151367,16
508.1991882,18
422.1039429,75
526.4672852,107
401.3781433,90
451.4937134,58
379.8197937,16
559.5408325,0
430.4244385,40
372.0303955,70
527.0159302,84
401.3578491,120
487.071106,190
382.9831543,13
474.8375244,20
439.1123962,24
389.2078857,150
457.5567322,170
473.3622742,23
349.3680115,103
485.8122559,54
430.4283752,175
521.7885742,12
445.4896545,88
462.4291687,23
453.5852356,132
358.1006775,15
487.6190796,51
378.8366394,17
584.2290649,256
390.2003174,30
585.2300415,213
585.8011475,42
499.7505188,22
462.4316406,20
408.3687439,70
512.4274902,30
376.2892456,60
548.7105103,145
432.3460083,32
355.4104614,38
462.2678223,170
410.6344299,40
471.6875305,35
398.5405579,30
501.3348999,28
420.066925,64
574.6447144,7
498.2055664,92
497.6515808,34
391.577179,33
401.6437378,58
380.572937,36
376.6469421,102
391.6642761,49
492.1145935,136
496.0273132,43
477.946991,78
490.844574,78
518.7125244,12
563.5731201,4
496.2642212,30
494.4215088,57
389.660614,68
480.6523132,148
369.4376831,60
487.2945862,158
362.3956299,87
385.6491394,10
440.0324707,19
350.2206116,97
454.2059021,15
427.9130554,90
530.838501,70
331.8252258,34
511.0656433,117
512.1386719,70
365.556488,69
435.5331726,39
435.0279846,20
411.1495972,29
395.0438843,12
487.4648438,61
350.6093445,112
356.5187073,128
432.5899048,6
334.0799255,56
538.0915527,136
425.409729,70
432.8628235,9
537.6870728,10
487.6338196,80
452.8610535,10
515.8067017,26
490.7498169,20
525.0714722,34
552.135376,18
497.5571594,100
436.8465576,90
414.5706787,4
335.4102173,131
346.4246826,55
460.2194824,22
501.3700867,4
412.5755005,27
360.0986633,19
385.922821,34
358.9911804,129
515.2021484,34
412.4653931,60
345.3840942,10
452.4880981,56
