Lat,Lon,Depth,Elevation
-75.44583,41.8625,2,629.274719
-75.441,41.85583,3,632.117798
-75.40139,41.87417,3,544.756104
-75.40194,41.87361,4,537.386597
-75.39417,41.91083,5,563.784729
-75.39611,41.91472,6,588.694885
-75.41833,41.85333,8,604.872986
-75.41694,41.85361,10,605.49469
-75.44028,41.85722,13,624.37854
-75.45694,41.90194,15,421.03891
-75.45833,41.91889,18,582.220032
-75.44,41.85917,18,618.972595
-75.44528,41.86389,23,626.421753
-75.42972,41.84111,23,627.558899
-75.44111,41.85539,25,634.118286
-75.43852,41.85713,25,626.473511
-75.47287,41.84453,27,606.790527
-75.47287,41.84393,28,609.020386
-75.47341,41.89908,30,397.546631
-75.4725,41.84806,30,604.183716
-75.44556,41.86222,31,626.661865
-75.38972,41.9075,34,565.752747
-75.39917,41.87833,35,579.029236
-75.44222,41.85722,35,620.821655
-75.44472,41.85639,36,625.740723
-75.4475,41.85861,37,629.901367
-75.47222,41.84722,40,604.903259
-75.4725,41.84972,40,605.98645
-75.44306,41.85667,40,624.132935
-75.42889,41.8425,40,636.097412
-75.39389,41.91083,50,562.858276
-75.47183,41.84787,51,608.349609
-75.40083,41.87222,53,537.060852
-75.41556,41.85278,57,613.56543
-75.47306,41.84417,70,609.053101
-75.47167,41.84639,70,605.46936
-75.45556,41.85833,70,610.74054
-75.39556,41.88583,80,556.748779
-75.3975,41.86889,85,538.615234
-75.47333,41.9025,101,394.386566
-75.4692,41.8932,112,443.120636
-75.47389,41.89889,112,397.103607
-75.44639,41.86167,134,630.905762
-75.66613681,42.22815818,1,491.794434
-75.65872015,42.20338041,10,405.723206
-75.59199795,42.15693597,232,290.633026
-75.59644239,42.15799153,149,284.98056
-75.54699796,42.1450193,60,507.318176
-75.55241463,42.14963041,210,476.848267
-75.63552571,42.17138041,110,372.085876
-75.61485905,42.19024152,27,293.940826
-75.66749792,42.18660263,10,453.678864
-75.69774791,42.14885264,10,462.104034
-75.65227571,42.1256582,8,290.432678
-75.62980349,42.18143597,73,318.973083
-75.62372016,42.17971374,55,298.548309
-75.63497016,42.14904708,40,413.710968
-75.69060902,42.19963041,15,475.006531
-75.54360908,42.1447693,40,537.488525
-75.65013682,42.16282486,5,439.529388
-75.54772019,42.14665819,80,495.768036
-75.66460903,42.22768596,3,462.018616
-75.62519238,42.17599152,90,324.322266
-75.67288681,42.14599153,5,433.465149
-75.66591459,42.15274153,60,457.855255
-75.65380348,42.19929707,124,368.876495
-75.68599792,42.20596374,10,479.070282
-75.71747013,42.14982486,70,431.992676
-75.68363681,42.16590819,5,453.984375
-75.70310902,42.19443597,30,496.724579
-75.70674791,42.19774152,12,510.380188
-75.63938682,42.13479709,45,333.515381
-75.69808125,42.1790193,4,475.123566
-75.62802572,42.13929709,70,342.78479
-75.66672015,42.13757487,70,411.372406
-75.62372016,42.17996374,63,298.915466
-75.62335905,42.18046374,65,299.310364
-75.63274794,42.12801931,60,286.151001
-75.64030349,42.13082487,48,303.579498
-75.68355348,42.12518598,6,383.257111
-75.5731924,42.12893597,85,412.616272
-75.53855352,42.13665819,40,507.742859
-75.60233128,42.13479709,100,289.8302
-75.68455347,42.16693597,6,457.057159
-75.70808124,42.2007693,7,530.354309
-75.59324795,42.1216582,110,300.610046
-75.59638684,42.12426931,230,302.581604
-75.57302573,42.1376582,30,463.063629
-75.62010905,42.13654709,180,354.242889
-75.68497014,42.16746375,3,459.624146
-75.79438678,42.01210267,90,290.810242
-75.77288679,42.00776934,60,263.12027
-75.82302566,42.01699156,50,409.216156
-75.77863679,42.011186,75,263.976746
-75.76230346,42.01757489,18,413.023651
-75.76816457,42.03910267,136,436.017548
-75.5492202,42.01732488,50,483.644867
-75.73758125,42.00171378,70,407.148621
-75.63338683,42.02615822,13,307.820068
-75.72388681,42.01471378,38,384.993866
-75.61174795,42.11521376,126,301.714172
-75.72230347,42.06471377,26,505.473724
-75.73610902,42.06749155,40,489.000122
-75.6784146,42.001936,10,429.026459
-75.68008126,42.03429711,50,448.725037
-75.64608127,42.11557487,57,293.130402
-75.7318868,42.02215822,105,343.99646
-75.72422014,42.02185267,8,428.910553
-75.67385904,42.0515471,130,502.203094
-75.6536646,42.04771377,50,461.92627
-75.6546646,42.03638044,140,425.292389
-75.65102572,42.04663044,15,467.093231
-75.66280349,42.04632488,50,460.834259
-75.62191462,42.00865822,125,296.202026
-75.7238868,42.04554711,63,414.844299
-75.66263682,42.0460471,30,457.479431
-75.69635903,42.06390821,95,527.215698
-75.63769239,42.032936,68,405.702148
-75.67505348,42.08438043,80,360.39975
-75.66694238,42.00824156,50,496.510773
-75.62783128,42.05388043,130,306.793182
-75.72491458,42.03915822,125,384.377991
-75.69410903,42.044186,10,511.974579
-75.72266458,42.05896377,110,483.962372
-75.73877568,42.11540821,8,549.823975
-75.74105346,42.07101933,75,480.206818
-75.71499792,42.00826934,72,395.371246
-75.58855351,42.08218598,30,382.724976
-75.70985903,42.05576933,138,511.966522
-75.69833125,42.05443599,5,566.171021
-75.7231368,42.11988043,10,474.535156
-75.74863679,42.07735266,150,480.763123
-75.66185904,42.04371377,80,451.84024
-75.6235535,42.09885265,42,337.720856
-75.61938684,42.05913043,165,286.554718
-75.72108125,42.05960266,80,485.927338
-75.73841458,42.00351934,64,415.696228
-75.71855347,42.03904711,46,422.742249
-75.63058127,42.12271376,18,349.374908
-75.57613685,42.10813042,80,502.623718
-75.63655349,42.10129709,58,285.136841
-75.62702572,42.08276932,12,333.817535
-75.42694244,42.22276928,200,515.565979
-75.61055349,42.22615818,20,424.271881
-75.51366464,42.2021304,40,408.505432
-75.47091465,42.25701928,50,300.588837
-75.46213687,42.27260261,25,307.292023
-75.50824796,42.30701927,100,408.676788
-75.45083132,42.30638038,98,315.273865
-75.36355354,42.7103803,95,430.986267
-75.36247021,42.6407692,16,443.293884
-75.3421091,42.66568587,38,413.533295
-75.38999797,42.72082475,5,501.168396
-75.39780353,42.73232474,18,521.21814
-75.62013682,42.23476929,50,371.217499
-75.6402757,42.27029706,3,422.461731
-75.59135905,42.33665816,7,497.619263
-75.60533127,42.29393594,25,484.618195
-75.37930355,42.41846369,253,310.40863
-75.45458131,42.37649148,15,456.589783
-75.51322018,42.34332482,1,479.770996
-75.40649799,42.42599147,95,465.078888
-75.48816464,42.3341026,80,432.02417
-75.45719242,42.38488037,100,489.787292
-75.44502574,42.582297,86,542.208496
-75.43163686,42.557297,32,481.933594
-75.40313687,42.56626922,79,391.895691
-75.39077576,42.53149145,60,326.221313
-75.41030353,42.62029699,15,494.929596
-75.39494243,42.60343588,43,406.560242
-75.38916465,42.64249143,32,471.8815
-75.44563686,42.48999146,80,445.358459
-75.42152576,42.48874146,200,423.540527
-75.46413686,42.4698248,50,502.305298
-75.55274795,42.33896371,3,497.403137
-75.56788683,42.35338038,15,502.984711
-74.99483146,42.43099145,13,512.208252
-74.78416485,42.48049143,139,549.383179
-74.89749815,42.46249144,20,386.203918
-74.8533315,42.49682477,17,565.679932
-74.89138704,42.48749144,90,544.636536
-74.81566484,42.4746581,42,400.379669
-74.86774816,42.45871366,27,501.783722
-74.82549817,42.50249143,17,578.86499
-74.93366481,42.40782479,73,632.300415
-75.02566478,42.40082479,19,540.202759
-75.1938314,42.34599147,6,547.981995
-75.19902584,42.30618593,45,518.964661
-75.13063698,42.27874148,10,606.400146
-75.1943314,42.35265814,13,566.889832
-75.09933143,42.35110258,67,441.256378
-75.04452589,42.3768248,44,592.988403
-75.16177585,42.33035259,40,458.461365
-75.19949807,42.27432482,95,564.278381
-75.04566478,42.31799147,41,599.251343
-75.10508142,42.3550748,32,440.223938
-75.15258141,42.27979704,108,612.687744
-75.09222032,42.30526926,48,583.679016
-75.0754981,42.39138035,76,406.334198
-75.04216478,42.33265814,75,510.595886
-75.12847031,42.34282481,120,446.542053
-74.71749821,42.50065809,3,630.917542
-74.66849823,42.45199144,125,578.692261
-74.76466486,42.49432476,3,608.420471
-74.69744266,42.44582477,18,561.288391
-74.64030379,42.43985255,15,651.241272
-74.684276,42.45760255,4,640.030762
-74.68294267,42.44629699,15,553.426392
-74.69533155,42.49549143,48,598.113464
-74.75883153,42.47282477,40,540.549255
-74.75416487,42.44049144,42,468.977875
-74.72999821,42.42949144,48,493.552185
-74.84099817,42.39949145,93,563.58728
-74.86035928,42.42843589,30,534.223938
-74.75466487,42.44482477,50,446.175812
-74.79366485,42.44165811,31,588.94989
-74.8628315,42.42932478,73,529.436401
-75.36999801,42.23285261,46,416.459106
-75.35547024,42.23190817,10,534.92511
-75.35710913,42.27901927,40,528.756531
-75.28499804,42.26582483,75,571.714844
-75.33913691,42.26860261,107,500.071045
-75.37027579,42.23454706,85,419.299072
-75.38485912,42.27015816,40,495.013794
-74.9751648,42.39149146,45,511.627197
-75.02683145,42.34549147,130,495.447266
-74.99833146,42.37715813,93,478.499054
-74.99816479,42.3468248,121,533.446106
-74.95197036,42.3776859,20,668.268127
-74.97005369,42.36996368,86,545.857544
-75.25469249,42.30776926,47,540.676025
-75.32097025,42.29976927,30,359.001953
-75.36747023,42.30143593,5,471.850739
-75.25669249,42.34099148,10,350.718536
-75.27777582,42.28007482,20,560.141296
-75.24610916,42.32365815,0,585.786377
-75.24249805,42.31193593,7,542.916687
