X,Y,Depth,Elevation
462997.9956,4634606.008,2,629.274719
463395.0624,4633863.391,3,632.117798
466692.3928,4635883.49,3,544.756104
466646.4622,4635821.529,4,537.386597
467310.212,4639950.966,5,563.784729
467151.316,4640383.604,6,588.694885
465275.4235,4633576.409,8,604.872986
465390.9552,4633606.935,10,605.49469
463455.6171,4634017.411,13,624.37854
462099.2252,4638989.759,15,421.03891
461993.9876,4640872.291,18,582.220032
463479.9672,4634233.794,18,618.972595
463044.4438,4634760.098,23,626.421753
464323.1761,4632224.337,23,627.558899
463385.6809,4633814.586,25,634.118286
463601.6509,4634006.671,25,626.473511
460742.7977,4632622.87,27,606.790527
460742.4309,4632556.255,28,609.020386
460731.3696,4638679.629,30,397.546631
460775.6711,4633014.624,30,604.183716
463020.2432,4634574.804,31,626.661865
467677.5857,4639579.558,34,565.752747
466878.7582,4636344.502,35,579.029236
463294.5916,4634018.239,35,620.821655
463086.6074,4633927.158,36,625.740723
462857.1413,4634174.836,37,629.901367
460798.4024,4632921.234,40,604.903259
460776.6851,4633198.928,40,605.98645
463224.5542,4633957.533,40,624.132935
464392.8563,4632378.319,40,636.097412
467333.4334,4639950.859,50,562.858276
460831.175,4632993.223,51,608.349609
466737.851,4635666.771,53,537.060852
465505.0595,4633514.228,57,613.56543
460726.8039,4632582.988,70,609.053101
460843.5549,4632828.831,70,605.46936
462187.9884,4634147.267,70,610.74054
467182.1374,4637175.817,80,556.748779
467012.4735,4635295.767,85,538.615234
460740.1005,4639059.306,101,394.386566
461077.0133,4638024.87,112,443.120636
460691.4377,4638658.753,112,397.103607
462951.0388,4634514.098,134,630.905762
445029.52,4675323.637,1,491.794434
445620.3014,4672567.712,10,405.723206
451092.6989,4667370.461,232,290.633026
450726.3433,4667490.218,149,284.98056
454801.8607,4666022.525,60,507.318176
454357.5958,4666537.388,210,476.848267
447508.6251,4669000.122,110,372.085876
449230.6898,4671081.823,27,293.940826
444881.084,4670710.453,10,453.678864
442348.8988,4666538.946,10,462.104034
446086.365,4663933.911,8,290.432678
447989.4954,4670113.116,73,318.973083
448490.4739,4669918.202,55,298.548309
447536.0651,4666520.052,40,413.710968
442984.3771,4672172.161,15,475.006531
455081.7066,4665992.978,40,537.488525
446294.5764,4668059.265,5,439.529388
454743.351,4666204.877,80,495.768036
445155.1858,4675270.221,3,462.018616
448365.863,4669505.803,90,324.322266
444400.5421,4666204.782,5,433.465149
444982.4927,4666949.734,60,457.855255
446022.7159,4672111.202,124,368.876495
443370.7211,4672872.301,10,479.070282
440720.2584,4666660.401,70,431.992676
443529.9943,4668423.238,5,453.984375
441947.6372,4671603.835,30,496.724579
441650.2312,4671973.345,12,510.380188
447159.2923,4664940.565,45,333.515381
442348.7523,4669888.663,4,475.123566
448101.8843,4665433.243,70,342.78479
444902.7882,4665266.262,70,411.372406
448490.6768,4669945.961,63,298.915466
448520.9045,4670001.259,65,299.310364
447702.3752,4664183.928,60,286.151001
447080.2296,4664500.089,48,303.579498
443500.6795,4663901.695,6,383.257111
452625.4357,4664250.957,85,412.616272
455493.7672,4665089.738,40,507.742859
450221.6774,4664918.302,100,289.8302
443455.1905,4668537.962,6,457.057159
441542.9402,4672310.443,7,530.354309
450962.2189,4663454.211,110,300.610046
450704.7822,4663745.934,230,302.581604
452645.7087,4665219.311,30,463.063629
448753.8784,4665123.123,180,354.242889
443421.2435,4668596.839,3,459.624146
434223.0177,4651425.165,90,290.810242
435998.9324,4650927.737,60,263.12027
431856.8576,4651990.383,50,409.216156
435526.2349,4651311.404,75,263.976746
436885.0157,4652008.591,18,413.023651
436421.1977,4654403.168,136,436.017548
454527.1534,4651845.67,50,483.644867
438916.7324,4650229.597,70,407.148621
447565.7824,4652874.575,13,307.820068
440063.0577,4651663.307,38,384.993866
449427.8825,4662749.459,126,301.714172
440241.0249,4657213.726,26,505.473724
439101.4865,4657531.886,40,489.000122
443816.8774,4650213.752,10,429.026459
443707.4,4653807.902,50,448.725037
446589.899,4662810.448,57,293.130402
439407.7318,4652495.498,105,343.99646
440042.1647,4652456.172,8,428.910553
444237.5224,4655719.103,130,502.203094
445905.3867,4655280.518,50,461.92627
445813.0014,4654022.806,140,425.292389
446122.8558,4655158.57,15,467.093231
445147.8915,4655132.128,50,460.834259
448501.3834,4650924.587,125,296.202026
440092.0179,4655086.743,63,414.844299
