X,Y,Depth
487698.5672,4621610.522,1
461664.9414,4631190.02,2
462997.9982,4634606.013,2
472031.9746,4627967.572,3
463395.0651,4633863.396,3
466692.3955,4635883.495,3
471914.0943,4638944.256,4
474995.6514,4643929.062,4
466646.4648,4635821.533,4
467310.2147,4639950.97,5
470023.8245,4622359.987,5
461190.1139,4649759.179,5
471079.6164,4643419.863,5
465326.5599,4644062.938,5
466169.437,4628147.27,6
467151.3186,4640383.608,6
467188.2172,4623328.372,7
472467.568,4633206.37,7
476217.9546,4623693.444,7
465726.4123,4645849.705,8
480106.7965,4627105.595,8
461256.998,4649419.053,8
465275.4261,4633576.414,8
471105.1308,4632748.775,9
472641.7595,4636413.3,10
464277.48,4633211.618,10
471407.1353,4633117.281,10
472174.8803,4634996.168,10
486414.3206,4630976.711,10
472147.0976,4639560.661,10
465390.9579,4633606.94,10
471608.0212,4637280.039,11
465615.9447,4629652.124,12
490079.5546,4622581.617,12
465504.4397,4647577.316,12
465155.5005,4646870.64,12
463455.6197,4634017.416,13
468788.1429,4630106.082,14
472283.8821,4633361.41,15
480326.9041,4626177.92,15
462099.2278,4638989.764,15
461211.9552,4649512.567,15
468479.8105,4633438.282,16
464792.2953,4629199.813,16
493235.0798,4624057.891,17
461993.9902,4640872.295,18
463479.9699,4634233.798,18
473247.1194,4629237.504,18
473244.6651,4629247.506,18
473248.818,4629247.49,18
472961.1324,4635517.193,20
465504.1429,4647516.25,20
475059.5893,4633785.276,20
478035.7832,4621775.773,21
480409.3948,4628078.456,21
475119.0739,4639641.8,21
463023.2795,4626186.567,21
487902.0667,4624435.749,21
462998.2538,4625846.951,21
471499.8964,4633271.238,22
466581.127,4621851.196,22
464144.6067,4633366.616,22
470629.1234,4633479.065,23
472808.5529,4631848.303,23
463044.4465,4634760.103,23
464323.1787,4632224.342,23
475191.2459,4627244.217,23
488806.9728,4626962.313,24
488362.9699,4623694.45,24
476132.0738,4625605.595,24
463385.6836,4633814.591,25
463601.6536,4634006.676,25
465066.1644,4628643.327,25
485779.8157,4625086.932,25
466704.2442,4633446.355,26
462032.7762,4622274.697,27
460742.8003,4632622.875,27
469032.9217,4633498.033,27
471108.3798,4633550.384,27
460742.4335,4632556.259,28
470475.9409,4636576.28,28
473149.3867,4632399.929,28
492077.8133,4621561.033,29
460731.3723,4638679.633,30
493304.1545,4624151.087,30
460775.6737,4633014.629,30
467473.7295,4625238.953,30
461985.2006,4647903.965,30
470312.085,4636082.883,30
486889.7068,4626226.147,31
463020.2459,4634574.809,31
487764.3099,4624559.222,31
471260.568,4636911.707,32
481841.3982,4628673.1,33
475671.2785,4632793.908,34
485803.0853,4625086.886,34
489124.304,4623107.042,34
467677.5883,4639579.563,34
466878.7608,4636344.507,35
463294.5943,4634018.243,35
467355.114,4644669.546,35
463086.61,4633927.163,36
495012.379,4623223.748,36
462857.144,4634174.841,37
471080.8727,4643728.52,37
472971.1452,4632248.495,38
472601.7419,4624903.249,40
473256.5329,4635509.416,40
469696.226,4635462.606,40
460798.405,4632921.239,40
