XCoord,YCoord,FID,COUNTY,TOWN,DEC_WELL_N,FOIL_LOC,LATITUDE,LONGITUDE,WELL_DEPTH,ROCK_DEPTH,GW_DEPTH,CASED_DEPT,SCR,YT_AVGDISC,REGNUMBER,DDLAT,DDLONG
595811.32023610,4727074.50631425,0,ALBANY,Albany,A1046,N/A,42 41 24.7,73 49 49.4,139,135,39,139,N,73,NYRD10002,42.690194,-73.830389
600363.31589943,4721412.88737234,1,ALBANY,Albany,A2129,CAVALLERI ST,42 38 19.1,73 46 33.0,500,92,78,100,N,3,NYRD10005,42.638639,-73.775833
599483.52958993,4723988.67353479,2,ALBANY,Albany,A2138,YATES ST,42 39 43.0,73 47 10.0,485,200, ,215,N, ,NYRD10005,42.661944,-73.786111
598787.40849831,4721387.17050094,3,ALBANY,Albany,A2204,I-87,42 38 19.0,73 47 42.2,600,90, ,93,N,0,NYRD10031,42.638611,-73.795056
592661.93237553,4728398.33102628,4,ALBANY,Albany,A859,PITCH PINE RD,42 42 09.0,73 52 07.0,20,-999,13,19,Y,10,NYRD10004,42.702500,-73.868611
600839.27646460,4725489.17400626,5,ALBANY,Albany,A965,COMMERCE ST,42 40 31.0,73 46 09.5,502,138,80,138,N,25,NYRD10005,42.675278,-73.769306
582071.58610720,4726154.46858636,6,ALBANY,Altamont,A1307,GARDNER RD,42 41 00.6,73 59 53.6,118,27,15.5,40,N,3,NYRD10027,42.683500,-73.998222
NULL,NULL,7,ALBANY,Altamont,A1608,LEWIS RD, , ,150,42,42,42,N, ,NYRD10236,0.000000,0.000000
580528.48684430,4732401.92942393,8,ALBANY,Altamont,A1629,RT 20,42 44 23.7,74 00 58.2,193,157,89.099998474,193,N,25,NYRD10005,42.739917,-74.016167
577884.86876944,4720377.41661887,9,ALBANY,Berne,A1004,SAWMILL RD,42 37 54.9,74 03 00.4,259,150,163.6000061,152.5,N,5,NYRD10027,42.631917,-74.050111
572730.73942732,4719007.31075075,10,ALBANY,Berne,A1049,CHRYSLER LN,42 37 12.3,74 06 47.3,319,90, ,97,N,5,NYRD10027,42.620083,-74.113139
576358.23468133,4712956.76480180,11,ALBANY,Berne,A1069,GRIPPY LN,42 33 54.9,74 04 11.0,150,5,145,38.5,N,5,NYRD10236,42.565250,-74.069722
577776.39280535,4717251.20457801,12,ALBANY,Berne,A1079,JOSLYN SCHOOL RD,42 36 13.6,74 03 06.7,239,126,18.5,126.5,N,5,NYRD10027,42.603778,-74.051861
576160.92449456,4714315.01839144,13,ALBANY,Berne,A1082,REMLEY LN,42 34 39.0,74 04 19.0,442,3,110,20,N,4,NYRD10005,42.577500,-74.071944
578054.57904190,4720478.04133140,14,ALBANY,Berne,A1092,SAWMILL RD,42 37 58.1,74 02 52.9,169,60,48.580001831,69,N,5,NYRD10027,42.632806,-74.048028
NULL,NULL,15,ALBANY,Berne,A1308,IRISH HILL RD, , ,248,5,60,40,N,5,NYRD10027,0.000000,0.000000
573422.47431769,4719304.57157321,16,ALBANY,Berne,A1373,TURNER RD,42 37 21.7,74 06 16.8,165,-999,18,162,N,20,NYRD10027,42.622694,-74.104667
578126.92465179,4720728.73312732,17,ALBANY,Berne,A1463,THATCHER PARK RD,42 38 06.2,74 02 49.6,502,19,267.32998657,40,N,2,NYRD10005,42.635056,-74.047111
578377.63549106,4720916.65654680,18,ALBANY,Berne,A1604,RT 157A,42 38 12.2,74 02 38.5,152,9,103,40,N,10,NYRD10027,42.636722,-74.044028
574391.03726429,4720548.83345135,19,ALBANY,Berne,A1661,SIMONS RD,42 38 01.7,74 05 33.7,775, ,200, ,N,1,NYRD10005,42.633806,-74.092694
576563.67746951,4717900.97212354,20,ALBANY,Berne,A1678,OLD RD,42 36 35.1,74 03 59.6,198,134,38,140,N,7,NYRD10027,42.609750,-74.066556
580049.34818110,4718362.92901977,21,ALBANY,Berne,A1721,ELM DR,42 36 48.8,74 01 26.4,259,68,26.25,79,N,5,NYRD10027,42.613556,-74.024000
572992.83287446,4713577.68010942,22,ALBANY,Berne,A1764,WILLSIE RD,42 34 16.2,74 06 38.3,358,114,33.75,114.5,N,3,NYRD10027,42.571167,-74.110639
576090.75171415,4720298.88891351,23,ALBANY,Berne,A1770,CRAIG RD,42 37 53.0,74 04 19.2,104,104,50.950000763,104,N,6,NYRD10004,42.631389,-74.072000
580950.52797716,4717093.13980877,24,ALBANY,Berne,A1838,EAST SHORE DR,42 36 07.3,74 00 47.5,440,98, ,100,N,1,NYRD10002,42.602028,-74.013194
576614.97539718,4715316.41902303,25,ALBANY,Berne,A1845,WOODSTOCK RD,42 35 11.3,74 03 58.6,702,3,72,38,N,3,NYRD10005,42.586472,-74.066278
573635.49710661,4720269.30311430,26,ALBANY,Berne,A1893,TURNER RD,42 37 52.9,74 06 07.0,478,254,181,258.5,N,6,NYRD10027,42.631361,-74.101944
577152.89743827,4717987.70337290,27,ALBANY,Berne,A1898,N/A,42 36 37.7,74 03 33.7,400,200,92,209,N,5,NYRD10023,42.610472,-74.059361
573539.29216502,4720104.78519158,28,ALBANY,Berne,A2053,TURNER RD,42 37 47.6,74 06 11.3,280,147, ,159,N, ,NYRD10027,42.629889,-74.103139
578509.65671119,4714476.89216950,29,ALBANY,Berne,A2296,JOSLYN SCHOOL RD,42 34 43.4,74 02 35.9,279,171,100.69999695,179,N,15,NYRD10027,42.578722,-74.043306
572526.94762652,4719976.90208478,30,ALBANY,Berne,A862,TABOR RD,42 37 43.8,74 06 55.8,98,97,1,98,N,6,NYRD10186,42.628833,-74.115500
572155.91450164,4714907.74884791,31,ALBANY,Berne,A891,SWITZKILL RD,42 34 59.6,74 07 14.4,36,31, ,32,N,0,NYRD10004,42.583222,-74.120667
600112.42670973,4714007.95605722,32,ALBANY,Bethlehem,A1040,WEMPLE RD,42 34 19.2,73 46 48.7,400,65,120,70,N,3,NYRD10124,42.572000,-73.780194
592717.74938270,4714340.36263793,33,ALBANY,Bethlehem,A1058,WEST YARD RD,42 34 33.3,73 52 12.8,110,65,8,65,N,40,NYRD10186,42.575917,-73.870222
596679.24149561,4715418.60178162,34,ALBANY,Bethlehem,A1070,IVYWOOD DR,42 35 06.5,73 49 18.4,141,140,20,140,N,20,NYRD10002,42.585139,-73.821778
595152.35437145,4709711.73778552,35,ALBANY,Bethlehem,A1087,WILLOWBROOK AVE,42 32 02.2,73 50 28.8,186,186,31,186,N,6,NYRD10186,42.533944,-73.841333
595329.78080544,4709751.18665222,36,ALBANY,Bethlehem,A1091,SOUTH ALBANY RD,42 32 03.4,73 50 21.0,235,-999, , ,N, ,NYRD10186,42.534278,-73.839167
595323.10624528,4709738.75499638,37,ALBANY,Bethlehem,A1134,SOUTH ALBANY RD,42 32 03.0,73 50 21.3,144,-999,19,143,Y,10,NYRD10186,42.534167,-73.839250
593103.20949394,4713139.26255411,38,ALBANY,Bethlehem,A1155,OLD QUARRY RD,42 33 54.2,73 51 56.6,360,22, ,40,N,0.5,NYRD10133,42.565056,-73.865722
599588.62790110,4713324.78606134,39,ALBANY,Bethlehem,A1163,WEISHEIT RD,42 33 57.3,73 47 12.1,160,-999,160,155,N,10,NYRD10124,42.565917,-73.786694
601340.96216239,4718107.44310747,40,ALBANY,Bethlehem,A1262,SOUTH PORT RD,42 36 31.5,73 45 52.2,40,-999,13,35,Y,50,NYRD10002,42.608750,-73.764500
